S_USAFire_FireshedReg_FireshedOBJECTID,S_USAFire_FireshedReg_FireshedAREA_HA,S_USAFire_FireshedReg_FireshedFIRESHED_ID,S_USAFire_FireshedReg_FireshedFIRESHED_NAME,S_USAFire_FireshedReg_FireshedFIRESHED_CODE,S_USAFire_FireshedReg_FireshedFIRESHED_STATE,S_USAFire_FireshedReg_FireshedNOPAS,S_USAFire_FireshedReg_Fireshed_ExpOBJECTID,S_USAFire_FireshedReg_Fireshed_ExpFSHED_ID,S_USAFire_FireshedReg_Fireshed_ExpEXP_TOTAL,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONCONIFER_HIHAZ,S_USAFire_FireshedReg_Fireshed_ExpDIST_VS,S_USAFire_FireshedReg_Fireshed_ExpCRISIS_STRATEGY,S_USAFire_FireshedReg_Fireshed_ExpKEY_PERFORMANCE_INDICATOR,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpSTART_DATE,S_USAFire_FireshedReg_Fireshed_ExpEND_DATE
1,59953,1,"Lynden, Washington",lynden_wa,WA,8,7689,1,0.03677465,,0.03677465,,4.162e-05,,0.03673303,,0.00142141,,0.03535324,,0.00134745,,0.00142084,,0.00134745,,2021,,,,4664,,294,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
2,54588,2,"Friday Harbor, Washington",friday_harbor_wa,WA,10,7690,2,0.05244621,,0.05244621,,0.00173727,,0.05070895,,0.03181367,,0.02063254,,,,0.03056533,,,,2021,,,,3637,,235,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
3,116640,3,"Bellingham, Washington",bellingham_wa,WA,10,7691,3,0.12837113,,0.12837113,,0.00045068,,0.12792045,,0.08353441,,0.04483672,,0.08317314,,0.08321617,,0.08285489,,2021,,,,3011,,202,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4,58787,4,"Classet, Washington",classet_wa,WA,5,7692,4,0.00245036,,0.00245036,,9.29e-06,,0.00244107,,0.00161557,,0.00083479,,0.00126936,,0.00160746,,0.00126203,,2021,,,,4630,,291,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
5,88063,5,"Glacier, Washington",glacier_wa,WA,9,7693,5,0.02218535,0.01780331,0.00438203,0.00294206,6.316e-05,0.01486124,0.00431888,0.0177509,0.00425743,5.241e-05,0.0001246,0.0177509,0.00425743,0.01486124,0.00419427,0.01486124,0.00419427,,2021,,,1165,3871,156,245,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6,84564,6,"Ruby, Washington",ruby_wa,WA,8,7694,6,0.01166,0.00094598,0.01071402,0.00094598,0.01071402,,0,0.00092241,0.0093286,2.357e-05,0.00138542,0.00092241,0.0093286,,,,,,2021,,,,5215,,321,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
7,109875,7,"Mount Shuksan, Washington",mount_shuksan_wa,WA,10,7695,7,0.01928,0.01780978,0.00147022,0,0.00147022,0.01780978,0,0.01769703,0.00094194,0.00011275,0.00052827,0.01769703,0.00094194,0.01769703,0,0.01769703,0,,2021,,,1135,3895,152,247,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
8,81881,8,"Forks, Washington",forks_wa,WA,8,7696,8,0.00871861,0.00012377,0.00859483,,0.00051112,0.00012377,0.00808371,0.00012377,0.0045095,,0.00408534,0.00012377,0.00443945,0.00012377,0.00402861,0.00012377,0.0039586,,2021,,,1636,4408,211,281,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
9,116640,9,"Sedro-Woolley, Washington",sedro_woolley_wa,WA,12,7697,9,0.13948432,0.0012055,0.13827881,0.00117114,0.00474949,3.437e-05,0.13352933,0.00059947,0.08792332,0.00060603,0.05035549,0.00050933,0.08508343,3.437e-05,0.08755233,3.437e-05,0.0847921,,2021,,,1671,2969,216,200,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
10,114890,10,"Anacortes Crossing, Washington",anacortes_crossing_wa,WA,11,7698,10,0.1389701,0.13897009,0,0.13891168,0,5.841e-05,0,0.0195286,0,0.11944149,0,0.0195286,0,1.373e-05,0,1.373e-05,0,,2021,,,1685,5148,219,316,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
