,X,Y,OBJECTID,FIRE_ID,FIRE_NAME,ASMNT_TYPE,FIRE_TYPE,NODATA_THRESHOLD,GREENNESS_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,IG_DATE,LATITUDE,LONGITUDE,ACRES,IRWINID,MAP_ID,MAP_PROG,PERIM_ID,DNBR_OFFST,DNBR_STDDV,COMMENTS,PRE_ID,POST_ID,state_fips,county_fips,fips,county_name,population
0,-120.187596786,36.073886714,830744,CA3607412018819840329,FK 1817,Initial (SS),Wildfire,9999,9999,-65,-280,-9999,1984/03/29 00:00:00+00,36.074,-120.188,1462,,4557,MTBS,,-9999,-9999,Single scene assessment,,504203519840707,6,19,6019,"Fresno County, California",1008654
1,-118.446389342,35.611308206,830745,CA3561111844619840526,WOODROW,Initial (SS),Wildfire,9999,9999,-25,-145,-225,1984/05/26 00:00:00+00,35.611,-118.446,1118,,4558,MTBS,,-9999,-9999,,,504103519840630,6,29,6029,"Kern County, California",909235
2,-120.646862135,38.004467059,830746,CA3800412064719840624,SALT SPRING,Initial (SS),Wildfire,9999,9999,50,-250,-9999,1984/06/24 00:00:00+00,38.004,-120.647,4837,,4560,MTBS,,-9999,-9999,,,504303419840730,6,9,6009,"Calaveras County, California",45292
3,-121.158118329,36.883363902,830747,CA3688312115819840705,PACHECO 2,Initial (SS),Wildfire,9999,9999,60,-250,-9999,1984/07/05 00:00:00+00,36.883,-121.158,1231,,4561,MTBS,,-9999,-9999,,,504303419840730,6,47,6047,"Merced County, California",281202
4,-118.387985571,35.579097894,830748,CA3557911838819840707,BODFISH,Extended,Wildfire,-970,-150,50,151,300,1984/07/07 00:00:00+00,35.579,-118.388,23189,,4562,MTBS,,-25,-9999,Hard to tell burned area on NE corner.,504103519840630,504103519850703,6,29,6029,"Kern County, California",909235
5,-118.848248632,36.405663543,830749,CA3640611884819840829,BAR-O,Extended,Wildfire,-970,-150,100,277,500,1984/08/29 00:00:00+00,36.406,-118.848,2987,,4564,MTBS,,35,-9999,Edited Ca. Dept. Forestry perimeter,504203519840707,504203519850726,6,107,6107,"Tulare County, California",473117
6,-117.074902589,34.701109988,830750,CA3470111707519840512,STODDARD 2,Initial (SS),Wildfire,9999,9999,-50,-190,-9999,1984/05/12 00:00:00+00,34.701,-117.075,2458,,4565,MTBS,,-9999,-9999,,,504003619840623,6,71,6071,"San Bernardino County, California",2181654
7,-120.065788748,40.078427445,830752,CA4007812006619840705,TURTLE,Initial,Wildfire,-970,-150,25,260,9999,1984/07/05 00:00:00+00,40.078,-120.066,3979,,4568,MTBS,,-20,-9999,,504303219840628,504303219840714,6,35,6035,"Lassen County, California",32730
8,-120.013668142,40.704170947,830753,CA4068311999419840706,TWIN,Initial,Wildfire,-970,-150,75,133,250,1984/07/06 00:00:00+00,40.691,-120.022,21476,,4569,MTBS,,8,37,"Fire was reproduced, high severity of original mapping altered to low and moderate.",504303219840628,504303219840714,6,35,6035,"Lassen County, California",32730
9,-120.110384069,41.260489606,830754,CA4126012012019840809,EAGLE,Extended,Wildfire,-970,-150,90,247,450,1984/08/09 00:00:00+00,41.26,-120.12,1734,,4570,MTBS,,38,-9999,,504303119840714,504403119850622,6,49,6049,"Modoc County, California",8700
